City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,holualoa,19.6228,-155.9522,20.31,84,0,0.89,US,1720617436
83,kuanda,56.3161,116.0806,21.11,78,100,2.78,RU,1720617436
84,mount gambier,-37.8333,140.7667,11.44,60,100,5.41,AU,1720617436
85,touros,-5.1989,-35.4608,27.52,71,99,6.82,BR,1720617436
86,taltal,-25.4,-70.4833,12.67,75,100,1.11,CL,1720617437
87,dikhil,11.5,42.1667,39.74,19,13,3.31,DJ,1720617371
88,qaqortoq,60.7167,-46.0333,6.26,94,100,1.41,GL,1720617437
89,albany,42.6001,-73.9662,27.71,82,99,0.45,US,1720617437
90,kavaratti,10.5669,72.642,26.6,85,100,7.62,IN,1720617437
91,shenkursk,62.1091,42.896,19.22,63,100,2.21,RU,1720617437
92,cururupu,-1.8283,-44.8683,28.48,72,16,2.7,BR,1720617437
93,tayshet,55.9342,98.0044,18.82,90,100,1.44,RU,1720617437
94,esquina,-30.0144,-59.5272,4.82,65,0,2.42,AR,1720617438
95,paka,4.6374,103.4368,26.96,83,100,1.03,MY,1720617438
96,semirom,31.4167,51.5667,29.3,11,17,7.25,IR,1720617438
97,vovchans'k,50.3003,36.9467,32.67,26,10,4.34,UA,1720617438
98,hamilton,39.1834,-84.5333,21.08,92,100,8.75,US,1720616968
99,hawaiian paradise park,19.5933,-154.9731,22.73,96,75,2.06,US,1720617438
100,ilulissat,69.2167,-51.1,6.01,81,20,2.06,GL,1720617439
101,klyuchi,52.2667,79.1667,24.6,42,80,2.02,RU,1720617439
102,bonthe,7.5264,-12.505,25.36,87,99,3.88,SL,1720617439
103,dili,-8.5586,125.5736,24.37,70,86,4.04,TL,1720617439
104,pernio,60.2,23.1333,23.94,38,32,3.86,FI,1720617431
105,papao,-17.75,-149.55,22.82,77,100,0.81,PF,1720617439
106,san luis de la loma,17.2706,-100.8939,24.14,97,100,3.75,MX,1720617439
107,wailua homesteads,22.0669,-159.378,23.44,87,20,5.66,US,1720617440
108,lazaro cardenas,17.9583,-102.2,23.18,92,100,2.53,MX,1720617440
109,constantia,44.1833,28.65,33.38,57,93,7.22,RO,1720617178
110,kavieng,-2.5744,150.7967,27.86,82,58,3.17,PG,1720617440
111,cartagena del chaira,1.3349,-74.8429,22.5,90,15,0.37,CO,1720617370
112,college,64.8569,-147.8028,12.32,87,75,2.06,US,1720617440
113,taoudenni,22.6783,-3.9836,46.85,8,0,3.77,ML,1720617441
114,whitehorse,60.7161,-135.0538,12.43,71,75,3.09,CA,1720617441
115,tucurui,-3.7661,-49.6725,28.71,61,6,1.76,BR,1720617441
116,bethel,41.3712,-73.414,28.55,80,0,2.57,US,1720617441
117,lodwar,3.1191,35.5973,34.28,30,100,4.97,KE,1720617441
118,isafjordur,66.0755,-23.124,13.02,67,75,6.69,IS,1720617441
119,lamar,33.6668,-95.5836,25.5,83,1,0.49,US,1720617441
120,howard springs,-12.497,131.047,24.95,86,96,2.41,AU,1720617442
121,port lincoln,-34.7333,135.8667,15.76,61,100,10.96,AU,1720617442
122,lhuentse,27.6679,91.1839,21.56,100,100,0.79,BT,1720617442
123,claveria,18.6074,121.0832,26.99,86,10,0.96,PH,1720617442
124,ratnagiri,16.9833,73.3,27.25,85,100,3.26,IN,1720617443
125,anadyr,64.75,177.4833,5.28,93,100,3.0,RU,1720617443
126,san fernando de apure,7.8878,-67.4724,25.75,90,100,1.32,VE,1720617443
127,gunnedah,-30.9833,150.25,9.25,82,0,1.43,AU,1720617443
128,namibe,-15.1961,12.1522,23.01,59,0,4.57,AO,1720617443
129,manokwari,-0.8667,134.0833,25.68,84,100,1.59,ID,1720617443
130,basco,20.4487,121.9702,29.96,76,5,5.68,PH,1720617444
131,bardai,11.65,7.2333,31.54,46,47,4.35,NG,1720617444
132,aswan,24.0934,32.907,42.03,9,0,5.95,EG,1720617444
133,tarnova,46.3167,21.8,37.68,26,9,1.49,RO,1720617184
134,ceerigaabo,10.6162,47.368,26.37,39,88,10.32,SO,1720617444
135,inhambane,-23.865,35.3833,25.7,36,0,4.57,MZ,1720617444
136,mpongwe,-13.5091,28.155,28.74,9,5,3.55,ZM,1720617445
137,hilo,19.7297,-155.09,22.93,96,75,2.06,US,1720617445
138,isiro,2.7739,27.616,26.58,61,93,1.11,CD,1720617445
139,dakhla,23.6848,-15.958,24.01,64,1,14.92,EH,1720617445
140,san patricio,28.017,-97.5169,29.39,81,100,0.8,US,1720617445
141,lihue,21.9789,-159.3672,23.77,84,20,5.66,US,1720617446
142,karratha,-20.7377,116.8463,23.98,63,6,4.09,AU,1720617446
143,butterworth,5.3991,100.3638,29.03,68,20,2.57,MY,1720617446
144,talnakh,69.4865,88.3972,22.81,52,48,4.04,RU,1720617446
145,nemuro,43.3236,145.575,15.25,100,100,2.53,JP,1720617446
